,Zipcode,Start_Lat,Start_Lng,State,Temperature,Humidity,Pressure,Wind_Speed,Month,Day,Hour,Dayofweek,Weekend,Weather_id,Severity
205,38012,35.537911,-89.248878,Tennessee,63.82,100,29.503839338452448,6.93,10,29,5,4,False,500,False
206,62092,39.38021,-90.40915,Illinois,44.55,75,29.710572947430602,6.93,10,29,5,4,False,804,True
207,35079,33.96849,-86.75946,Alabama,69.55,94,29.47430596574129,3.36,10,29,5,4,False,804,False
208,35007,33.229563,-86.805555,Alabama,71.13,94,29.53337271116361,17.22,10,29,5,4,False,501,True
209,36251,33.27748,-85.82207,Alabama,73.89,88,29.503839338452448,19.46,10,29,5,4,False,804,False
210,11239,40.643233,-73.87597,NY,54.84,76,29.917306556408743,4.7,10,29,5,4,False,804,False
211,70119,29.98187,-90.08673,Louisiana,69.48,82,29.799173065564087,14.99,10,29,5,4,False,804,False
212,36602,30.683459999999997,-88.04228,Alabama,75.4,94,29.740106320141763,9.17,10,29,5,4,False,803,True
213,10003,40.72379,-73.99126,NY,54.43,76,29.887773183697576,6.93,10,29,5,4,False,804,False
214,36602,30.68548,-88.04173,Alabama,75.34,94,29.740106320141763,9.17,10,29,5,4,False,803,True
215,35031,34.16147,-86.475645,Alabama,68.76,100,29.53337271116361,12.75,10,29,5,4,False,804,False
216,10801,40.912867,-73.775111,NY,52.02,66,29.887773183697576,5.82,10,29,5,4,False,804,True
217,36067,32.47484,-86.52206,Alabama,75.0,100,29.65150620200827,13.87,10,29,6,4,False,300,False
218,19102,39.95162,-75.1635,PA,53.67,81,29.858239810986408,11.41,10,29,5,4,False,500,True
219,36092,32.62226,-86.14526,Alabama,75.29,100,29.65150620200827,13.87,10,29,6,4,False,300,False
220,35051,33.160779999999995,-86.5287,Alabama,71.35,94,29.562906083874783,17.22,10,29,6,4,False,701,False
221,70118,29.966105,-90.109705,Louisiana,67.78,82,29.799173065564087,14.99,10,29,6,4,False,804,False
222,11201,40.69374000000001,-73.98428,NY,54.05,71,29.917306556408743,5.82,10,29,6,4,False,500,True
223,36758,32.64883,-86.936166,Alabama,72.14,100,29.59243945658595,13.87,10,29,6,4,False,300,False
224,10004,40.70446,-74.01423,NY,54.64,71,29.917306556408743,5.41,10,29,5,4,False,804,False
225,11206,40.706497,-73.944008,NY,53.78,76,29.887773183697576,8.05,10,29,6,4,False,500,False
226,11204,40.614678999999995,-73.975099,NY,54.1,76,29.887773183697576,8.05,10,29,6,4,False,500,False
227,11218,40.64709000000001,-73.981811,NY,54.34,71,29.917306556408743,5.82,10,29,6,4,False,500,False
228,11207,40.68145,-73.90401999999997,NY,54.12,76,29.887773183697576,8.05,10,29,6,4,False,500,False
229,11203,40.643311,-73.921859,NY,54.48,76,29.887773183697576,8.05,10,29,5,4,False,500,False
230,11375,40.721709000000004,-73.84388,NY,53.71,71,29.887773183697576,8.05,10,29,6,4,False,500,False
231,30523,34.64363,-83.45878,Georgia,69.39,94,29.356172474896635,17.22,10,29,6,4,False,501,True
232,30122,33.772201,-84.603043,Georgia,73.38,79,29.59243945658595,14.99,10,29,6,4,False,500,True
233,11354,40.762844,-73.831912,NY,53.4,71,29.887773183697576,8.05,10,29,6,4,False,500,True
234,36853,32.71028,-85.77417,Alabama,74.68,83,29.681039574719435,19.46,10,29,7,4,False,804,False
235,11220,40.64347,-74.022759,NY,53.98,76,29.887773183697576,8.05,10,29,6,4,False,500,True
236,10019,40.76762,-73.98222,NY,53.44,81,29.887773183697576,4.7,10,29,7,4,False,500,False
237,11209,40.633571,-74.036703,NY,54.14,76,29.887773183697576,5.82,10,29,6,4,False,500,True
238,11234,40.619473,-73.941633,NY,54.19,87,29.887773183697576,8.05,10,29,6,4,False,500,False
239,10019,40.765541,-73.976259,NY,53.37,81,29.887773183697576,4.7,10,29,7,4,False,500,False
240,11249,40.711112,-73.963429,NY,53.28,76,29.887773183697576,8.05,10,29,7,4,False,500,True
241,36610,30.707061,-88.03315400000002,Alabama,75.09,88,29.740106320141763,11.41,10,29,7,4,False,804,False
242,10011,40.731832,-73.99665300000002,NY,52.75,87,29.887773183697576,3.36,10,29,7,4,False,500,False
243,10025,40.803175,-73.963714,NY,52.34,87,29.887773183697576,3.36,10,29,7,4,False,500,False
244,60612,41.882,-87.676654,Illinois,45.18,75,29.76963969285293,14.99,10,29,7,4,False,804,False
245,10019,40.770122,-73.987826,NY,52.66,87,29.887773183697576,3.36,10,29,7,4,False,500,False
246,10023,40.769495,-73.98457900000002,NY,52.66,87,29.887773183697576,3.36,10,29,7,4,False,500,False
247,47137,38.242259999999995,-86.359801,Indiana,55.85,100,29.53337271116361,8.05,10,29,7,4,False,500,False
248,11354,40.763118,-73.83205,NY,53.47,71,29.887773183697576,8.05,10,29,6,4,False,500,True
249,11101,40.741929999999996,-73.95378000000002,NY,52.57,87,29.887773183697576,3.36,10,29,7,4,False,500,False
250,70002,30.01773,-90.14896999999999,Louisiana,59.85,82,29.887773183697576,13.87,10,29,7,4,False,801,True
251,30531,34.497607,-83.57489699999998,Georgia,71.46,88,29.503839338452448,26.4,10,29,7,4,False,501,False
252,39531,30.39289,-88.95336999999998,Mississippi,70.36,94,29.82870643827525,10.29,10,29,8,4,False,804,False
253,94103,37.771026,-122.417322,California,57.78,58,30.064973419964556,3.2,10,29,7,4,False,800,False
254,40014,38.341415999999995,-85.50544000000002,Kentucky,56.43,93,29.503839338452448,8.05,10,29,8,4,False,502,True
255,92618,33.66757,-117.75256,California,54.1,66,30.005906674542235,0.54,10,29,8,4,False,800,False
256,28613,35.7163,-81.19813,North Carolina,70.02,94,29.47430596574129,19.46,10,29,8,4,False,502,False
257,92808,33.86608,-117.71413600000001,California,50.79,93,30.005906674542235,1.72,10,29,8,4,False,800,False
258,92602,33.740425,-117.767825,California,55.08,66,30.005906674542235,0.83,10,29,8,4,False,800,False
259,60614,41.93273,-87.647875,Illinois,45.48,75,29.799173065564087,17.22,10,29,8,4,False,803,False
260,28601,35.74324,-81.34184,North Carolina,70.12,94,29.444772593030123,19.46,10,29,8,4,False,502,False
